gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
CPLX1	Yes	Yes	No	No
CPN2	Yes	Yes	Yes	No
CPXM1	Yes	Yes	Yes	No
CPXM2	Yes	No	No	No
CPZ	Yes	No	No	Yes
CRADD	Yes	No	No	No
CRAT	Yes	Yes	Yes	No
CREB1	No	Yes	No	No
CREB3L1	Yes	No	No	No
CREB5	No	No	Yes	No
CREBRF	No	No	Yes	No
CRIM1	Yes	Yes	Yes	No
CRIP1	Yes	Yes	Yes	No
CRIP2	Yes	No	No	No
CRISPLD1	Yes	No	No	No
CRLF1	Yes	No	No	No
CRLF2	Yes	No	No	No
CRMP1	Yes	No	No	No
CRNKL1	No	Yes	No	No
CROCC	Yes	Yes	Yes	No
CRP	Yes	No	No	No
CRTAC1	Yes	No	No	No
CRTC1	Yes	Yes	Yes	No
CRY2	No	Yes	No	No
CRYBA2	Yes	No	No	No
CSE1L	No	Yes	No	No
CSF3R	Yes	Yes	Yes	No
CSMD2	Yes	No	No	No
CSRNP3	Yes	No	No	No
CSRP1	Yes	Yes	Yes	No
CST7	Yes	No	No	No
CTAGE1	No	Yes	No	No
CTBP1	Yes	No	No	No
CTBP2	Yes	No	No	No
CTC1	Yes	Yes	Yes	No
CTCFL	Yes	Yes	Yes	Yes
CTDSP1	Yes	No	No	No
CTDSPL	Yes	No	Yes	No
CTIF	No	No	Yes	No
CTRB1	No	No	Yes	No
CTRC	Yes	No	No	Yes
CTSA	No	No	Yes	No
CTSC	Yes	No	No	No
CTSH	No	No	Yes	No
CTSL	Yes	Yes	Yes	No
CTSV	Yes	No	No	Yes
CTU2	Yes	No	No	No
CTXN1	Yes	No	No	No
CUL1	Yes	No	No	Yes
CUX2	Yes	Yes	No	No
CWH43	Yes	No	No	No
CXCL12	Yes	Yes	Yes	No
CXCL14	Yes	No	No	No
CXCL2	No	No	Yes	No
CXCR4	Yes	No	No	Yes
CXXC5	Yes	Yes	Yes	Yes
CYB5A	Yes	Yes	Yes	No
CYBRD1	No	Yes	No	No
CYC1	No	Yes	No	No
CYP19A1	No	No	Yes	No
CYP1A1	No	Yes	No	No
CYP1B1	Yes	Yes	Yes	No
CYP26A1	Yes	Yes	Yes	No
CYP26C1	Yes	Yes	Yes	No
CYP2E1	Yes	Yes	Yes	No
CYP46A1	Yes	Yes	Yes	No
CYR61	Yes	Yes	Yes	No
CYTL1	Yes	No	No	No
DAB2IP	Yes	No	No	Yes
DACH1	No	No	Yes	No
DAD1	No	Yes	No	No
DAGLA	No	Yes	No	No
DAP	No	Yes	No	No
DAPK1	Yes	Yes	Yes	No
DAPK2	Yes	No	No	No
DARC	Yes	No	No	No
DBI	No	No	Yes	No
DBN1	Yes	No	No	No
DBNDD2	Yes	No	No	No
DBP	Yes	No	No	No
DBX1	Yes	No	No	No
DBX2	Yes	No	No	No
DCAF12	No	Yes	No	No
DCAF16	Yes	No	No	No
DCAF8	No	Yes	No	No
DCC	No	No	Yes	No
DCHS1	No	Yes	No	No
DCP2	Yes	No	No	No
DCPS	Yes	No	No	No
DCST2	Yes	No	No	No
DCTD	Yes	No	No	No
DCTN2	Yes	No	No	No
DDIT4	No	No	Yes	No
DDN	Yes	No	No	No
DDR1	Yes	No	No	No
DDX20	No	No	Yes	No
DDX51	Yes	No	No	No
DEAF1	No	No	Yes	Yes
DEFA5	Yes	No	No	No
DEFB112	Yes	No	No	No
DEFB115	Yes	No	No	No
DEFB116	Yes	No	No	No
DEFB118	Yes	No	No	No
DEFB119	Yes	No	No	No
DEFB121	Yes	No	No	No
DEGS2	Yes	No	No	No
DENND2D	No	No	Yes	No
DENND3	Yes	No	No	No
DENR	No	Yes	No	No
DET1	No	No	Yes	No
DFNB31	Yes	No	No	No
DFNB59	No	Yes	No	No
DGAT1	Yes	No	No	No
DGCR2	Yes	No	No	No
DGKE	Yes	No	No	No
DGKG	Yes	No	No	No
DGKZ	Yes	No	No	No
DGUOK	Yes	Yes	Yes	No
DHCR7	No	Yes	No	No
DHRS13	Yes	No	No	No
DHRS3	Yes	Yes	Yes	No
DHRS4	Yes	No	No	No
DHRS4L2	Yes	No	No	No
DHX34	No	Yes	No	No
DHX36	No	No	Yes	No
DHX37	No	Yes	No	No
DHX9	No	Yes	No	No
DIEXF	Yes	Yes	No	No
DIO3	Yes	No	No	No
DIP2A	No	No	Yes	No
DIXDC1	Yes	No	No	No
DKK2	No	No	Yes	No
DKK3	No	No	Yes	No
DLAT	Yes	No	No	No
DLC1	Yes	No	No	No
DLEU1	Yes	Yes	Yes	No
DLG5	Yes	Yes	Yes	No
DLGAP1	Yes	No	Yes	No
DLGAP3	No	Yes	No	No
DLGAP4	Yes	No	No	No
DLL4	Yes	No	No	No
DLX1	No	Yes	No	No
DLX2	Yes	Yes	Yes	No
DLX3	Yes	No	No	No
DLX5	Yes	No	No	No
DLX6	Yes	No	No	No
DMBT1	Yes	No	No	No
DMBX1	Yes	No	No	No
DMPK	Yes	No	No	No
DMRT2	Yes	No	No	No
DMRT3	Yes	No	No	No
DMRTA2	Yes	No	No	No
DMTF1	Yes	No	No	No
DNAI1	No	Yes	No	No
DNAJA2	Yes	Yes	Yes	No
DNAJB1	No	No	Yes	No
DNAJB12	No	No	Yes	No
DNAJB6	Yes	Yes	No	No
DNAJB8	Yes	No	No	Yes
DNAJC1	Yes	No	No	No
DNAJC19	Yes	Yes	Yes	No
DNAJC22	Yes	No	No	No
DNAJC27	Yes	Yes	Yes	No
DNAJC6	No	No	Yes	No
DNAL4	Yes	Yes	Yes	No
DNER	No	No	Yes	No
DNM3	No	No	Yes	No
DOC2B	No	Yes	No	No
DOCK1	Yes	No	No	No
DOCK5	Yes	No	No	No
DOK4	Yes	No	No	No
DOK5	Yes	No	Yes	No
DOK6	Yes	No	No	No
DOPEY1	No	Yes	No	No
DPP6	Yes	No	No	No
DPP7	No	Yes	No	No
DPYS	No	No	Yes	No
DPYSL4	No	Yes	No	No
DQX1	Yes	No	No	No
DRAP1	Yes	No	No	No
DRAXIN	No	No	Yes	No
DRD1	Yes	Yes	Yes	No
DRGX	No	No	No	Yes
DSC3	Yes	Yes	Yes	Yes
DSCAM	No	No	No	Yes
DTNA	No	Yes	No	No
DTNBP1	No	Yes	No	No
DUOX2	Yes	No	No	No
DUOXA2	Yes	No	No	No
DUSP1	Yes	Yes	Yes	No
DUSP12	Yes	No	No	No
DUSP16	No	Yes	No	No
DUSP2	No	No	Yes	Yes
DUSP4	Yes	No	No	No
DUSP6	Yes	No	No	No
DUSP7	No	No	Yes	No
DUSP8	No	Yes	No	No
DVL1	Yes	No	No	Yes
DYNC1H1	No	Yes	No	No
DYNLL1	Yes	No	No	No
DYNLRB2	Yes	Yes	Yes	No
DYNLT1	Yes	No	No	No
DZIP1	Yes	Yes	Yes	No
E2F8	Yes	Yes	Yes	Yes
